店家代號,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月
3,0,0,13,14,20,-1,23,0,0,0,0,0,0,0,0,0,0,0,0,27,7
4,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,30,130,50,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7,0,0,100,40,20,0,95,0,0,0,0,0,0,0,0,0,0,0,0,10,40
10,0,0,10,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0
11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,10,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
18,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
20,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
22,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0
24,0,0,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,16,0,0
25,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0
26,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0
27,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
29,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0
31,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0
32,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
34,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0
38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
39,0,0,15,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0
41,0,0,10,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
