店家代號,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
224,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0
225,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
248,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
249,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
256,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
266,0,0,15,10,0,10,0,0,0,3,0,0,6,0,0,3,3,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
277,0,10,5,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,6
284,0,0,0,120,0,0,0,0,0,0,0,0,10,5,60,0,0,0,0,0,0
286,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
288,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
291,0,0,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
299,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
304,0,10,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
309,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0
316,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
317,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,4,0,0,5,10,0,0,0,0,5,0,0,2,0,0,0,0,0,0
323,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,5,0,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0
326,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
334,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0
358,0,0,0,10,0,10,0,0,10,2,0,0,4,0,10,10,0,0,0,0,0
361,0,0,3,4,0,5,0,0,0,0,1,6,2,5,3,0,2,0,0,0,0
362,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,-5,0
364,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0
